id,katakana,zh_hans,kanji_ja,pinyin,vitality,might,intelligence,loyalty,virtue,officer_level,experience,troop_count,army_affinity,weapon,armor,weapon_index,armor_index,army_affinity_code,data_offset,hex
31,カコウハ,夏侯霸,夏侯覇,xià hóu bà,94,86,60,84,66,4,3500,0,山,眉尖刀,兜,9,2,5,139652,5E563C544200AC0D00004935
32,カコウボウ,夏侯楙,夏侯楙,xià hóu mào,67,44,14,71,53,3,2000,0,平,長剣,籠手,2,1,1,139664,432C0E473500D00700002221
33,カコウラン,夏侯兰,夏侯蘭,xià hóu lán,83,57,36,75,50,3,2000,0,平,矛,籠手,16,1,1,139676,5339244B3200D00700003021
34,ガタン,雅丹,雅丹,yǎ dān,79,75,68,57,61,3,2000,0,水,双戟,兜,17,2,9,139688,4F4B44393D00D00700005129
35,ガッカン,鄂焕,鄂煥,è huàn,89,85,20,68,32,3,2000,0,山,方天画戟,籠手,21,1,5,139700,595514442000D00700003525
36,カハン,贾范,賈範,jiǎ fàn,70,33,64,71,77,4,3500,0,平,短剣,綸巾,0,0,1,139712,462140474D00AC0D00000031
37,カユウ,华雄,華雄,huà xióng,95,90,32,85,43,3,2000,1000,山,長剣,兜,2,2,6,139724,5F5A20552B00D007E8034226
38,カンウ,关羽,関羽,guān yǔ,97,97,84,99,88,2,1000,700,水,偃月刀,籠手,12,1,10,139736,616154635800E803BC022C1A
39,カンエイ,韩瑛,韓瑛,hán yīng,77,70,41,63,42,2,1000,0,水,飛剣,籠手,1,1,9,139748,4D46293F2A00E80300002119
40,カンキ,韩琪,韓琪,hán qí,82,64,22,67,50,2,1000,0,水,双戟,綸巾,17,0,9,139760,524016433200E80300001119
41,カンゲン,韩玄,韓玄,hán xuán,50,41,21,58,20,1,0,0,平,短剣,綸巾,0,0,1,139772,3229153A1400000000000001
42,カンコウ,关兴,関興,guān xīng,92,88,68,87,66,3,2000,0,山,眉尖刀,兜,9,2,5,139784,5C5844574200D00700004925
43,カンサク,关索,関索,guān suǒ,94,83,58,85,60,3,2000,0,山,三尖刀,籠手,10,1,5,139796,5E533A553C00D00700002A25
44,カンスイ,韩遂,韓遂,hán suì,68,43,81,76,78,1,0,500,平,短剣,綸巾,0,0,2,139808,442B514C4E000000F4010002
45,カントウ,韩当,韓当,hán dāng,84,70,50,83,88,2,1000,1000,水,矛,籠手,16,1,10,139820,544632535800E803E803301A
46,カントク,韩德,韓徳,hán dé,90,77,45,71,51,2,1000,0,山,戦斧,兜,19,2,5,139832,5A4D2D473300E80300005315
47,カンネイ,甘宁,甘寧,gān níng,94,93,60,84,79,2,1000,0,水,眉尖刀,籠手,9,1,9,139844,5E5D3C544F00E80300002919
48,カンペイ,关平,関平,guān píng,88,82,60,85,70,3,2000,0,水,薤刀,兜,8,2,9,139856,58523C554600D00700004829
49,カンモウ,韩猛,韓猛,hán měng,75,58,21,61,36,2,1000,0,水,矛,籠手,16,1,9,139868,4B3A153D2400E80300003019
50,カンヨウ,简雍,簡雍,jiǎn yōng,70,34,74,68,84,1,0,0,平,短剣,綸巾,0,0,1,139880,46224A445400000000000001
51,ガンリョウ,颜良,顔良,yán liáng,91,89,37,87,52,2,1000,1000,山,鉤鐮刀,兜,11,2,6,139892,5B5925573400E803E8034B16
52,ギエン,魏延,魏延,wèi yán,95,94,42,55,26,2,1000,0,山,眉尖刀,兜,9,2,5,139904,5F5E2A371A00E80300004915
53,ギキョ,义渠,義渠,yì qú,85,58,37,73,42,3,2000,0,水,双戟,籠手,17,1,9,139916,553A25492A00D00700003129
54,ギュウキン,牛金,牛金,niú jīn,84,80,36,70,40,2,1000,0,山,三尖刀,兜,10,2,5,139928,545024462800E80300004A15
55,キョウイ,姜维,姜維,jiāng wéi,80,92,94,75,75,4,3500,0,山,双鉤槍,甲冑,20,5,5,139940,505C5E4B4B00AC0D0000B435
56,キョユウ,许攸,許攸,xǔ yōu,47,34,91,68,43,2,1000,0,平,短剣,綸巾,0,0,1,139952,2F225B442B00E80300000011
57,キョチョ,许褚,許褚,xǔ chǔ,95,97,35,88,60,2,1000,0,山,単鉤槍,籠手,18,1,5,139964,5F6123583C00E80300003215
58,ギラン,妫览,嬀覧,guī lǎn,96,52,8,49,10,2,1000,0,平,双戟,綸巾,17,0,1,139976,603408310A00E80300001111
59,キレイ,纪灵,紀霊,jì líng,80,70,31,57,36,2,1000,0,水,三尖刀,兜,10,2,9,139988,50461F392400E80300004A19
60,キンカンケツ,金环结,金環結,jīn huán jié,70,62,38,58,40,2,1000,0,平,単鉤槍,籠手,18,1,1,140000,463E263A2800E80300003211
61,グホン,虞翻,虞翻,yú fān,51,40,79,69,71,1,0,0,平,短剣,綸巾,0,0,1,140012,33284F454700000000000001
62,ケイドウエイ,邢道荣,邢道栄,xíng dào róng,87,80,13,65,41,2,1000,0,山,戦斧,籠手,19,1,5,140024,57500D412900E80300003315
63,ゲンガン,严颜,厳顔,yán yán,85,86,66,86,86,3,2000,1000,山,薤刀,兜,8,2,6,140036,555642565600D007E8034826
64,ゲンシュン,严畯,厳畯,yán jùn,50,21,74,73,48,1,0,0,平,短剣,綸巾,0,0,1,140048,32154A493000000000000001
65,ゲンコウ,严纲,厳綱,yán gāng,60,55,51,67,48,2,1000,0,平,飛剣,籠手,1,1,1,140060,3C3733433000E80300002111
66,ゴイ,吴懿,呉懿,wú yì,78,68,73,81,75,2,1000,1000,水,長剣,兜,2,2,10,140072,4E4449514B00E803E803421A
67,コウガイ,黄盖,黄蓋,huáng gài,72,79,63,84,80,2,1000,1000,水,薤刀,籠手,8,1,10,140084,484F3F545000E803E803281A
68,コウカン,高干,高幹,gāo gàn,69,60,38,70,42,1,0,0,水,矛,籠手,16,1,9,140096,453C26462A00000000003009
69,コウショウ,高翔,高翔,gāo xiáng,80,62,55,68,59,2,1000,0,平,双戟,兜,17,2,1,140108,503E37443B00E80300005111
70,コウケン,黄权,黄権,huáng quán,59,42,78,87,68,1,0,0,平,短剣,綸巾,0,0,2,140120,3B2A4E574400000000000002
71,コウセイ,侯成,侯成,hóu chéng,70,72,52,64,60,1,1000,0,山,矛,籠手,16,1,5,140132,464834403C00E80300003005
72,コウセン,侯选,侯選,hóu xuǎn,81,72,43,71,53,1,0,1000,山,薤刀,籠手,8,1,6,140144,51482B4735000000E8032806
73,コウソンエン,公孙渊,公孫淵,gōng sūn yuān,87,76,20,48,10,3,2000,0,山,三尖刀,兜,10,2,5,140156,574C14300A00D00700004A25
74,コウソンコウ,公孙康,公孫康,gōng sūn kāng,79,64,62,63,69,2,1000,0,水,短剣,籠手,0,1,9,140168,4F403E3F4500E80300002019
75,コウチュウ,黄忠,黄忠,huáng zhōng,90,96,64,78,75,4,3500,0,山,鉤鐮刀,兜,11,2,5,140180,5A60404E4B00AC0D00004B35
76,コウテイ,高定,高定,gāo dìng,63,51,56,66,58,2,1000,0,平,薤刀,籠手,8,1,1,140192,3F3338423A00E80300002811
77,コウラン,高览,高覧,gāo lǎn,87,70,49,69,54,1,0,800,水,矛,籠手,16,1,10,140204,57463145360000002003300A
78,ゴツトツコツ,兀突骨,兀突骨,wù tū gǔ,98,80,26,51,50,3,2000,0,水,双戟,硬皮,17,3,9,140216,62501A333200D00700007129
79,コヨウ,顾雍,顧雍,gù yōng,52,46,83,73,71,2,1000,0,平,短剣,綸巾,0,0,1,140228,342E53494700E80300000011
80,コシャジ,胡车儿,胡車児,hú chē ér,94,74,50,58,43,2,1000,0,山,薤刀,籠手,8,1,5,140240,5E4A323A2B00E80300002815
81,ゴラン,吴兰,呉蘭,wú lán,80,70,43,75,61,1,0,500,山,矛,兜,16,2,6,140252,50462B4B3D000000F4015006
82,サイエン,崔琰,崔琰,cuī yǎn,44,42,74,60,59,3,2000,0,平,短剣,綸巾,0,0,1,140264,2C2A4A3C3B00D00700000021
83,サイヨウ,蔡阳,蔡陽,cài yáng,70,62,47,49,38,2,1000,0,水,薤刀,籠手,8,1,9,140276,463E2F312600E80300002819
84,サイリョウ,崔谅,崔諒,cuī liàng,69,58,34,61,65,3,2000,0,平,飛剣,籠手,1,1,1,140288,453A223D4100D00700002121
85,シカン,史涣,史渙,shǐ huàn,80,65,38,53,42,2,1000,0,水,眉尖刀,籠手,9,1,9,140300,504126352A00E80300002919
86,シバイ,司马懿,司馬懿,sī mǎ yì,69,64,98,90,90,3,2000,0,平,長剣,綸巾,2,0,1,140312,4540625A5A00D00700000221
87,シバシ,司马师,司馬師,sī mǎ shī,84,85,89,83,80,4,3500,0,山,双戟,籠手,17,1,5,140324,545559535000AC0D00003135
88,シバショウ,司马昭,司馬昭,sī mǎ zhāo,76,71,90,80,89,4,3500,0,水,単鉤槍,硬皮,18,3,9,140336,4C475A505900AC0D00007239
89,シュウゼン,周善,周善,zhōu shàn,81,67,46,85,54,1,0,500,水,飛剣,綸巾,1,0,10,140348,51432E5536000000F401010A
90,シュウソウ,周仓,周倉,zhōu cāng,91,84,61,67,59,2,1000,0,水,三尖刀,兜,10,2,9,140360,5B543D433B00E80300004A19
91,シュウタイ,周泰,周泰,zhōu tài,87,82,33,78,60,2,1000,0,水,矛,籠手,16,1,9,140372,5752214E3C00E80300003019
92,シュウホウ,周鲂,周魴,zhōu fáng,72,54,79,74,70,2,1000,0,平,短剣,籠手,0,1,1,140384,48364F4A4600E80300002011
93,シュウユ,周瑜,周瑜,zhōu yú,70,87,98,98,96,3,2000,0,水,長剣,硬皮,2,3,9,140396,465762626000D00700006229
94,シュカン,朱桓,朱桓,zhū huán,88,84,70,73,69,3,2000,0,水,双戟,兜,17,2,9,140408,585446494500D00700005129
95,シュゼン,朱然,朱然,zhū rán,90,77,40,70,60,2,1000,0,水,薤刀,籠手,8,1,9,140420,5A4D28463C00E80300002819
96,シュチ,朱治,朱治,zhū zhì,71,60,55,88,68,1,0,1000,平,短剣,綸巾,0,0,2,140432,473C375844000000E8030002
97,シュホウ,朱褒,朱褒,zhū bāo,70,57,67,65,52,3,2000,0,平,三尖刀,兜,10,2,1,140444,463943413400D00700004A21
98,シュレイ,朱灵,朱霊,zhū líng,82,63,42,62,59,2,1000,0,水,矛,籠手,16,1,9,140456,523F2A3E3B00E80300003019
99,ジュンイク,荀彧,荀彧,xún yù,59,34,96,92,74,3,2000,0,平,短剣,綸巾,0,0,1,140468,3B22605C4A00D00700000021
100,ジュンウケイ,淳于琼,淳于瓊,chún yú qióng,84,69,16,65,27,2,1000,0,水,飛剣,籠手,1,1,9,140480,544510411B00E80300002119
101,ジュンジン,荀谌,荀諶,xún chén,51,30,72,76,49,2,1000,0,平,短剣,綸巾,0,0,1,140492,331E484C3100E80300000011
102,ショウカン,蒋干,蔣幹,jiǎng gàn,58,42,74,69,39,2,1000,0,平,飛剣,籠手,1,1,1,140504,3A2A4A452700E80300002111
103,ショウカイ,钟会,鍾会,zhōng huì,80,70,92,80,74,4,3500,0,水,鉤鐮刀,硬皮,11,3,9,140516,50465C504A00AC0D00006B39
104,ショウエン,蒋琬,蔣琬,jiǎng wǎn,53,44,90,71,86,3,2000,0,平,短剣,綸巾,0,0,1,140528,352C5A475600D00700000021
105,ショウチョウ,向宠,向寵,xiàng chǒng,69,70,55,75,80,2,1000,0,平,矛,籠手,16,1,1,140540,4546374B5000E80300003011
106,ジョエイ,徐荣,徐栄,xú róng,60,52,30,79,47,1,0,300,平,長剣,籠手,2,1,2,140552,3C341E4F2F0000002C012202
107,ショカツキン,诸葛瑾,諸葛瑾,zhū gě jǐn,54,48,94,93,94,3,2000,0,平,短剣,綸巾,0,0,1,140564,36305E5D5E00D00700000021
108,ショカツセン,诸葛瞻,諸葛瞻,zhū gě zhān,77,86,87,85,90,4,3500,0,山,長剣,兜,2,2,5,140576,4D5657555A00AC0D00004235
109,ショカツリョウ,诸葛亮,諸葛亮,zhū gě liàng,71,62,99,97,95,3,2000,0,水,長剣,鶴氅,2,4,9,140588,473E63615F00D00700008229
110,ショカツカク,诸葛恪,諸葛恪,zhū gě kè,61,71,95,81,81,4,3500,0,水,単鉤槍,籠手,18,1,9,140600,3D475F515100AC0D00003239
111,ジョコウ,徐晃,徐晃,xú huǎng,93,91,50,88,47,3,2000,0,山,戦斧,兜,19,2,5,140612,5D5B32582F00D00700005325
112,ジョショ,徐庶,徐庶,xú shù,73,74,96,67,80,2,1000,0,山,長剣,綸巾,2,0,5,140624,494A60435000E80300000215
113,ジョセイ,徐盛,徐盛,xú shèng,83,74,55,76,70,2,1000,0,水,単鉤槍,兜,18,2,9,140636,534A374C4600E80300005219
114,ジンシュン,任峻,任峻,rèn jùn,60,35,39,60,64,1,0,0,平,飛剣,籠手,1,1,1,140648,3C23273C4000000000002101
115,ジンソウ,任双,任双,rèn shuāng,80,65,50,61,58,1,0,0,山,矛,籠手,16,1,5,140660,5041323D3A00000000003005
116,シンタン,申耽,申耽,shēn dān,81,72,40,64,43,2,1000,0,水,双戟,兜,17,2,9,140672,514828402B00E80300005119
117,シンパイ,审配,審配,shěn pèi,71,66,80,90,65,1,0,500,水,飛剣,綸巾,1,0,10,140684,4742505A41000000F401010A
118,シンピ,辛毗,辛毗,xīn pí,67,35,86,79,83,2,1000,0,平,短剣,綸巾,0,0,1,140696,4323564F5300E80300000011
119,シンピョウ,辛评,辛評,xīn píng,65,54,60,83,67,2,1000,0,平,飛剣,綸巾,1,0,1,140708,41363C534300E80300000111
120,セイギ,成宜,成宜,chéng yí,84,66,25,73,41,1,0,500,平,矛,籠手,16,1,2,140720,5442194929000000F4013002
121,セッソウ,薛综,薛綜,xuē zōng,55,37,64,68,44,2,1000,0,平,短剣,綸巾,0,0,1,140732,372540442C00E80300000011
122,ゼンソウ,全琮,全琮,quán cóng,74,63,56,65,49,2,1000,0,平,薤刀,籠手,8,1,1,140744,4A3F38413100E80300002811
123,ソウエイ,曹叡,曹叡,cáo ruì,73,79,84,89,60,4,3500,0,山,長剣,硬皮,2,3,5,140756,494F54593C00AC0D00006235
124,ソウキュウ,曹休,曹休,cáo xiū,91,72,42,84,63,3,2000,0,水,矛,兜,16,2,9,140768,5B482A543F00D00700005029
125,ソウケン,宋宪,宋憲,sòng xiàn,80,60,48,56,52,2,1000,0,平,矛,籠手,16,1,1,140780,503C30383400E80300003011
126,ソウコウ,曹洪,曹洪,cáo hóng,85,69,56,87,60,1,0,800,平,薤刀,籠手,8,1,2,140792,554538573C00000020032802
127,ソウショウ,曹彰,曹彰,cáo zhāng,94,88,44,85,31,3,2000,0,山,単鉤槍,硬皮,18,3,5,140804,5E582C551F00D00700007225
128,ソウショク,曹植,曹植,cáo zhí,37,41,91,83,68,2,1000,0,平,短剣,綸巾,0,0,1,140816,25295B534400E80300000011
129,ソウシン,曹真,曹真,cáo zhēn,85,70,74,86,80,2,1000,0,山,双戟,兜,17,2,5,140828,55464A565000E80300005115
130,ソウジン,曹仁,曹仁,cáo rén,84,76,59,89,64,1,0,1000,水,矛,籠手,16,1,10,140840,544C3B5940000000E803300A
131,ソウソウ,曹操,曹操,cáo cāo,82,84,89,100,97,2,1000,1000,山,破斬剣,甲冑,3,5,6,140852,525459646100E803E803A316
132,ソウヒ,曹丕,曹丕,cáo pī,80,77,79,92,88,3,2000,0,山,長剣,硬皮,2,3,5,140864,504D4F5C5800D00700006225
133,ソウユウ,曹熊,曹熊,cáo xióng,30,34,32,80,79,1,0,0,平,短剣,綸巾,0,0,1,140876,1E2220504F00000000000001
134,ソジュ,沮授,沮授,jǔ shòu,52,41,84,88,71,2,1000,300,平,短剣,綸巾,0,0,2,140888,342954584700E8032C010012
135,ソヒ,苏飞,蘇飛,sū fēi,77,60,55,67,61,1,0,0,平,双戟,籠手,17,1,1,140900,4D3C37433D00000000003101
136,ソンカン,孙乾,孫乾,sūn qián,51,46,74,71,92,2,1000,0,平,短剣,綸巾,0,0,1,140912,332E4A475C00E80300000011
137,ソンケン,孙权,孫権,sūn quán,82,83,88,99,95,3,2000,0,水,長剣,硬皮,2,3,9,140924,525358635F00D00700006229
138,ソンサク,孙策,孫策,sūn cè,90,95,61,100,90,1,0,1000,水,大剣,硬皮,4,3,10,140936,5A5F3D645A000000E803640A
139,ソンヨク,孙翊,孫翊,sūn yì,90,84,26,88,55,2,1000,0,山,三尖刀,兜,10,2,5,140948,5A541A583700E80300004A15
140,ソンレイ,孙礼,孫礼,sūn lǐ,88,87,58,73,60,3,2000,0,山,眉尖刀,籠手,9,1,5,140960,58573A493C00D00700002925
141,タイシジ,太史慈,太史慈,tài shǐ cí,92,94,49,85,76,2,1000,1000,山,単鉤槍,兜,18,2,6,140972,5C5E31554C00E803E8035216
142,タンユウ,谭雄,譚雄,tán xióng,78,76,45,60,53,1,0,0,山,薤刀,籠手,8,1,5,140984,4E4C2D3C3500000000002805
143,チョウサイ,张济,張済,zhāng jì,71,55,13,74,21,2,1000,1000,平,飛剣,籠手,1,1,2,140996,47370D4A1500E803E8032112
144,チョウウン,赵云,趙雲,zhào yún,98,97,86,77,94,3,2000,0,山,単鉤槍,兜,18,2,5,141008,6261564D5E00D00700005225
145,チョウエイ,张卫,張衛,zhāng wèi,57,61,49,69,53,2,1000,0,山,矛,籠手,16,1,5,141020,393D31453500E80300003015
146,チョウオウ,张横,張横,zhāng héng,81,64,37,75,36,1,0,800,平,矛,籠手,16,1,2,141032,5140254B2400000020033002
147,チョウギ,张嶷,張嶷,zhāng yí,75,77,56,70,69,2,1000,0,山,双戟,兜,17,2,5,141044,4B4D38464500E80300005115
148,チョウゲツ,赵月,趙月,zhào yuè,77,60,38,68,42,1,0,700,平,飛剣,籠手,1,1,2,141056,4D3C26442A000000BC022102
149,チョウコウ,张郃,張郃,zhāng hé,83,89,43,67,56,3,2000,0,山,眉尖刀,兜,9,2,5,141068,53592B433800D00700004925
150,チョウショウ,张松,張松,zhāng sōng,38,19,90,73,59,1,0,200,平,短剣,綸巾,0,0,2,141080,26135A493B000000C8000002
151,チョウジン,张任,張任,zhāng rèn,90,84,74,93,90,2,1000,1000,山,双戟,兜,17,2,6,141092,5A544A5D5A00E803E8035116
152,チョウナン,张南,張南,zhāng nán,79,61,46,69,30,2,1000,0,水,薤刀,籠手,8,1,9,141104,4F3D2E451E00E80300002819
153,チョウヒ,张飞,張飛,zhāng fēi,99,98,20,98,35,2,1000,700,山,矛,硬皮,16,3,6,141116,636214622300E803BC027016
154,チョウホウ,张苞,張苞,zhāng bāo,92,90,55,87,52,3,2000,0,山,単鉤槍,兜,18,2,5,141128,5C5A37573400D00700005225
155,チョウヨク,张翼,張翼,zhāng yì,81,67,65,75,55,2,1000,0,平,双戟,籠手,17,1,1,141140,5143414B3700E80300003111
156,チョウリョウ,张辽,張遼,zhāng liáo,93,90,84,84,90,3,2000,0,水,単鉤槍,硬皮,18,3,9,141152,5D5A54545A00D00700007229
157,チンシン,陈震,陳震,chén zhèn,54,53,78,65,67,1,0,0,平,短剣,綸巾,0,0,1,141164,36354E414300000000000001
158,チンブ,陈武,陳武,chén wǔ,78,65,36,77,32,1,0,500,水,矛,籠手,16,1,10,141176,4E41244D20000000F401300A
159,チンラン,陈兰,陳蘭,chén lán,84,68,49,54,30,1,0,0,水,薤刀,兜,8,2,9,141188,544431361E00000000004809
160,チンリン,陈琳,陳琳,chén lín,72,45,82,60,61,3,2000,0,平,短剣,綸巾,0,0,1,141200,482D523C3D00D00700000021
161,テイイク,程昱,程昱,chéng yù,40,22,92,89,70,2,1000,0,平,飛剣,綸巾,1,0,1,141212,28165C594600E80300000111
162,テイギン,程银,程銀,chéng yín,80,73,34,78,54,1,0,1000,山,矛,籠手,16,1,6,141224,5049224E36000000E8033006
163,テイフ,程普,程普,chéng pǔ,80,60,68,89,79,2,1000,500,平,双戟,兜,17,2,2,141236,503C44594F00E803F4015112
164,テイヘイ,程秉,程秉,chéng bǐng,41,36,52,71,65,2,1000,0,平,短剣,綸巾,0,0,1,141248,292434474100E80300000011
165,テンイ,典韦,典韋,diǎn wéi,97,96,26,93,39,2,1000,0,山,双戟,兜,17,2,5,141260,61601A5D2700E80300005115
166,デンチュウ,田畴,田疇,tián chóu,71,51,54,74,77,1,0,0,平,飛剣,籠手,1,1,1,141272,4733364A4D00000000002101
167,デンホウ,田丰,田豊,tián fēng,40,35,93,90,89,2,1000,700,平,短剣,綸巾,0,0,2,141284,28235D5A5900E803BC020012
168,トウイン,董允,董允,dǒng yǔn,37,38,86,85,79,2,1000,0,平,短剣,綸巾,0,0,1,141296,252656554F00E80300000011
169,トウガイ,邓艾,鄧艾,dèng ài,89,87,90,78,68,4,3500,0,山,鉤鐮刀,硬皮,11,3,5,141308,59575A4E4400AC0D00006B35
170,トウシ,邓芝,鄧芝,dèng zhī,69,45,84,70,80,3,2000,0,平,短剣,兜,0,2,1,141320,452D54465000D00700004021
171,トウシュウ,董袭,董襲,dǒng xí,89,68,50,72,52,2,1000,0,水,三尖刀,籠手,10,1,9,141332,594432483400E80300002A19
172,トウトヌ,董荼奴,董荼奴,dǒng tú nú,70,63,49,67,50,2,1000,0,平,双戟,籠手,17,1,1,141344,463F31433200E80300003111
173,トウタク,董卓,董卓,dǒng zhuó,88,87,47,100,11,5,5000,1000,山,大剣,硬皮,4,3,6,141356,58572F640B008813E8036446
174,バエン,马延,馬延,mǎ yán,80,58,32,68,23,2,1000,0,水,矛,籠手,16,1,9,141368,503A20441700E80300003019
175,バガン,马玩,馬玩,mǎ wán,73,60,47,65,55,1,0,0,平,薤刀,兜,8,2,1,141380,493C2F413700000000004801
176,バキュウ,马休,馬休,mǎ xiū,70,62,40,85,63,2,1000,0,平,双戟,兜,17,2,1,141392,463E28553F00E80300005111
177,バショク,马谡,馬謖,mǎ sù,76,80,89,72,74,3,2000,0,山,長剣,籠手,2,1,5,141404,4C5059484A00D00700002225
178,バジュン,马遵,馬遵,mǎ zūn,88,51,22,74,70,2,1000,0,平,眉尖刀,兜,9,2,1,141416,5833164A4600E80300004911
179,バタイ,马岱,馬岱,mǎ dài,90,88,63,89,52,2,1000,0,山,眉尖刀,硬皮,9,3,5,141428,5A583F593400E80300006915
180,バチョウ,马超,馬超,mǎ chāo,97,97,52,99,76,3,2000,0,山,単鉤槍,硬皮,18,3,5,141440,616134634C00D00700007225
181,バテツ,马铁,馬鉄,mǎ tiě,81,67,39,88,63,2,1000,0,平,飛剣,兜,1,2,1,141452,514327583F00E80300004111
182,バトウ,马腾,馬騰,mǎ téng,80,82,54,100,84,3,2000,1000,山,長剣,硬皮,2,3,6,141464,505236645400D007E8036226
183,バリョウ,马良,馬良,mǎ liáng,45,45,94,73,88,2,1000,0,平,短剣,綸巾,0,0,1,141476,2D2D5E495800E80300000011
184,バンイク,万彧,万彧,wàn yù,37,48,83,77,72,1,0,0,平,飛剣,綸巾,1,0,1,141488,2530534D4800000000000101
185,ハンショウ,潘璋,潘璋,pān zhāng,85,78,52,75,54,2,1000,0,水,薤刀,籠手,8,1,9,141500,554E344B3600E80300002819
186,ハンチュウ,樊稠,樊稠,fán chóu,86,70,29,71,44,2,1000,500,山,薤刀,籠手,8,1,6,141512,56461D472C00E803F4012816
