id,name_addr,file_offset,sram_record,hex,katakana,hiragana,romaji,glyphs,scale,blank
173,$96DC,0x216dc,$6BDC,1706130B,トウタク,とうたく,Toutaku,4,2,0
174,$96E6,0x216e6,$6BE8,1D390731,バエン,ばえん,Baen,3,2,0
175,$96F0,0x216f0,$6BF4,1D39093931,バガン,ばがん,Bagan,3,2,0
176,$96FA,0x216fa,$6C00,1D390A3606,バキュウ,ばきゅう,Bakyuu,4,2,0
177,$9704,0x21704,$6C0C,1D390F370B,バショク,ばしょく,Bashoku,4,2,0
178,$970E,0x2170e,$6C18,1D390F393631,バジュン,ばじゅん,Bajun,4,2,0
179,$9718,0x21718,$6C24,1D391305,バタイ,ばたい,Batai,3,2,0
180,$9722,0x21722,$6C30,1D39143706,バチョウ,ばちょう,Bachou,4,2,0
181,$972C,0x2172c,$6C3C,1D391615,バテツ,ばてつ,Batetsu,3,2,0
182,$9736,0x21736,$6C48,1D391706,バトウ,ばとう,Batou,3,2,0
183,$9740,0x21740,$6C54,1D392B3706,バリョウ,ばりょう,Baryou,4,2,0
184,$974A,0x2174a,$6C60,1D3931050B,バンイク,ばんいく,Ban'iku,4,2,0
185,$9754,0x21754,$6C6C,1D310F3706,ハンショウ,はんしょう,Hanshou,5,1,0
186,$975E,0x2175e,$6C78,1D31143606,ハンチュウ,はんちゅう,Hanchuu,5,1,0
187,$9768,0x21768,$6C84,1E05,ヒイ,ひい,Hii,2,3,0
188,$9772,0x21772,$6C90,1E390F390B,ビジク,びじく,Bijiku,3,2,0
189,$977C,0x2177c,$6C9C,1E392106,ビホウ,びほう,Bihou,3,2,0
190,$9786,0x21786,$6CA8,1F0705,フエイ,ふえい,Fuei,3,2,0
191,$9790,0x21790,$6CB4,1F39310F3606,ブンシュウ,ぶんしゅう,Bunshuu,5,1,0
192,$979A,0x2179a,$6CC0,1F3931203A05,ブンペイ,ぶんぺい,Bunpei,4,2,0
193,$97A4,0x217a4,$6CCC,1F3904310D0B,ブアンコク,ぶあんこく,Buankoku,5,1,0
194,$97AE,0x217ae,$6CD8,21060A,ホウキ,ほうき,Houki,3,2,0
195,$97B8,0x217b8,$6CE4,21060F393606,ホウジュウ,ほうじゅう,Houjuu,5,1,0
196,$97C2,0x217c2,$6CF0,21061105,ホウセイ,ほうせい,Housei,4,2,0
197,$97CC,0x217cc,$6CFC,21061706,ホウトウ,ほうとう,Houtou,4,2,0
198,$97D6,0x217d6,$6D08,2106170B,ホウトク,ほうとく,Houtoku,4,2,0
199,$97E0,0x217e0,$6D14,210F15,ホシツ,ほしつ,Hoshitsu,3,2,0
200,$97EA,0x217ea,$6D20,2606090B,モウカク,もうかく,Moukaku,4,2,0
201,$97F4,0x217f4,$6D2C,26061315,モウタツ,もうたつ,Moutatsu,4,2,0
202,$97FE,0x217fe,$6D38,26062806,モウユウ,もうゆう,Mouyuu,4,2,0
203,$9808,0x21808,$6D44,2906093905,ヨウガイ,ようがい,Yougai,4,2,0
204,$9812,0x21812,$6D50,29060A39,ヨウギ,ようぎ,Yougi,3,2,0
205,$981C,0x2181c,$6D5C,29060D06,ヨウコウ,ようこう,Youkou,4,2,0
206,$9826,0x21826,$6D68,29060F3606,ヨウシュウ,ようしゅう,Youshuu,5,1,0
207,$9830,0x21830,$6D74,29061F,ヨウフ,ようふ,Youfu,3,2,0
208,$983A,0x2183a,$6D80,2A051D0B,ライハク,らいはく,Raihaku,4,2,0
209,$9844,0x21844,$6D8C,2A05173906,ライドウ,らいどう,Raidou,4,2,0
210,$984E,0x2184e,$6D98,2B05,リイ,りい,Rii,2,3,0
211,$9858,0x21858,$6DA4,2B090B,リカク,りかく,Rikaku,3,2,0
212,$9862,0x21862,$6DB0,2B0B110A,リクセキ,りくせき,Rikuseki,4,2,0
213,$986C,0x2186c,$6DBC,2B0B1231,リクソン,りくそん,Rikuson,4,2,0
214,$9876,0x21876,$6DC8,2B0C3931,リゲン,りげん,Rigen,3,2,0
215,$9880,0x21880,$6DD4,2B1331,リタン,りたん,Ritan,3,2,0
216,$988A,0x2188a,$6DE0,2B1631,リテン,りてん,Riten,3,2,0
217,$9894,0x21894,$6DEC,2B1F,リフ,りふ,Rifu,2,3,0
218,$989E,0x2189e,$6DF8,2B371F,リョフ,りょふ,Ryofu,3,2,0
219,$98A8,0x218a8,$6E04,2B0F3936,リジュ,りじゅ,Riju,3,2,0
220,$98B2,0x218b2,$6E10,2B36060F3706,リュウショウ,りゅうしょう,Ryuushou,6,1,0
221,$98BC,0x218bc,$6E1C,2B36061739,リュウド,りゅうど,Ryuudo,4,2,0
222,$98C6,0x218c6,$6E28,2B36061E39,リュウビ,りゅうび,Ryuubi,4,2,0
223,$98D0,0x218d0,$6E34,2B36062005,リュウヘイ,りゅうへい,Ryuuhei,5,1,0
224,$98DA,0x218da,$6E40,2B36062106,リュウホウ,りゅうほう,Ryuuhou,5,1,0
225,$98E4,0x218e4,$6E4C,2B36062906,リュウヨウ,りゅうよう,Ryuuyou,5,1,0
226,$98EE,0x218ee,$6E58,2B370609,リョウカ,りょうか,Ryouka,4,2,0
227,$98F8,0x218f8,$6E64,2B37060D06,リョウコウ,りょうこう,Ryoukou,5,1,0
228,$9902,0x21902,$6E70,2B37061706,リョウトウ,りょうとう,Ryoutou,5,1,0
229,$990C,0x2190c,$6E7C,2B37093905,リョガイ,りょがい,Ryogai,4,2,0
230,$9916,0x21916,$6E88,2B370D06,リョコウ,りょこう,Ryokou,4,2,0
231,$9920,0x21920,$6E94,2B370C31,リョケン,りょけん,Ryoken,4,2,0
232,$992A,0x2192a,$6EA0,2B370F3706,リョショウ,りょしょう,Ryoshou,5,1,0
233,$9934,0x21934,$6EAC,2B371D31,リョハン,りょはん,Ryohan,4,2,0
234,$993E,0x2193e,$6EB8,2B372606,リョモウ,りょもう,Ryomou,4,2,0
235,$9948,0x21948,$6EC4,2E0F360B,ロシュク,ろしゅく,Roshuku,4,2,0
236,$9952,0x21952,$6ED0,2B0C05,リケイ,りけい,Rikei,3,2,0
237,$995C,0x2195c,$6EDC,,,,,0,3,1
238,$9966,0x21966,$6EE8,,,,,0,3,1
239,$9970,0x21970,$6EF4,,,,,0,3,1
