id,katakana,zh_hans,kanji_ja,pinyin,country_id,ruler_officer_id,gold,rice,population,land_value,industry,disaster_prevention,governance,reserve_troops,treasure,officer_count,active_troops,officer_ids,officer_names,sram_record,data_offset,hex
17,ケンアン,建安,建安,jiàn ān,3,,200,300,17000,25,20,40,40,100,0,1,500,158,陈武,$6220,0x20e20,0300C8002C01AA001900282864001400009EFFFFFFFFFFFFFFFFFF0000000000
18,コウシュウ,交州,交州,jiāo zhōu,7,,140,210,11000,15,15,20,25,100,0,0,0,,,$6240,0x20e40,07008C00D2006E000F00141964000F0000FFFFFFFFFFFFFFFFFFFF0000000000
19,イクリン,郁林,郁林,yù lín,7,,160,240,10000,10,15,25,30,100,0,0,0,,,$6260,0x20e60,0700A000F00064000A00191E64000F0000FFFFFFFFFFFFFFFFFFFF0000000000
20,コウカ,江夏,江夏,jiāng xià,3,138,290,420,20000,25,25,45,45,100,0,3,3000,138 45 141,孙策 韩当 太史慈,$6280,0x20e80,03002201A401C80019002D2D64001900008A2D8DFFFFFFFFFFFFFF0000000000
21,ケイシュウ,荆州,荊州,jīng zhōu,7,,280,410,25000,30,30,60,55,100,0,0,0,,,$62A0,0x20ea0,070018019A01FA001E003C3764001E0000FFFFFFFFFFFFFFFFFFFF0000000000
22,ショウヨウ,襄阳,襄陽,xiāng yáng,7,,210,310,18000,20,25,40,40,100,0,0,0,,,$62C0,0x20ec0,0700D2003601B400140028286400190000FFFFFFFFFFFFFFFFFFFF0000000000
23,チョウサ,长沙,長沙,cháng shā,7,,240,360,20000,25,20,45,45,100,0,0,0,,,$62E0,0x20ee0,0700F0006801C80019002D2D6400140000FFFFFFFFFFFFFFFFFFFF0000000000
24,レイリョウ,零陵,零陵,líng líng,7,,200,300,17000,15,20,40,45,100,0,0,0,,,$6300,0x20f00,0700C8002C01AA000F00282D6400140000FFFFFFFFFFFFFFFFFFFF0000000000
25,カンチュウ,汉中,漢中,hàn zhōng,5,,250,370,23000,20,25,50,45,100,0,3,2500,151 63 81,张任 严颜 吴兰,$6320,0x20f20,0500FA007201E6001400322D6400190000973F51FFFFFFFFFFFFFF0000000000
26,セイト,成都,成都,chéng dū,5,220,240,360,21000,25,20,45,40,100,0,4,1800,220 16 70 209,刘璋 王甫 黄权 雷铜,$6340,0x20f40,0500F0006801D20019002D286400140000DC1046D1FFFFFFFFFFFF0000000000
27,フリョウ,涪陵,涪陵,fú líng,5,,190,280,17000,20,20,40,40,100,0,2,1200,66 150,吴懿 张松,$6360,0x20f60,0500BE001801AA001400282864001400004296FFFFFFFFFFFFFFFF0000000000
28,ウンナン,云南,雲南,yún nán,5,,170,250,15000,20,15,35,35,100,0,2,2000,196 201,法正 孟达,$6380,0x20f80,0500AA00FA0096001400232364000F0000C4C9FFFFFFFFFFFFFFFF0000000000
29,エイショウ,永昌,永昌,yǒng chāng,7,,160,240,15000,15,20,40,40,100,0,0,0,,,$63A0,0x20fa0,0700A000F00096000F0028286400140000FFFFFFFFFFFFFFFFFFFF0000000000
