id,katakana,hiragana,romaji,kanji_ja,zh_hant,zh_hans,pinyin,note
50,カンヨウ,かんよう,Kanyou,簡雍,簡雍,简雍,jiǎn yōng,
51,ガンリョウ,がんりょう,Ganryou,顔良,顏良,颜良,yán liáng,
52,ギエン,ぎえん,Gien,魏延,魏延,魏延,wèi yán,
53,ギキョ,ぎきょ,Gikyo,義渠,義渠,义渠,yì qú,in-game name drops the surname of 蔣義渠 (Jiang Yiqu)
54,ギュウキン,ぎゅうきん,Gyuukin,牛金,牛金,牛金,niú jīn,
55,キョウイ,きょうい,Kyoui,姜維,姜維,姜维,jiāng wéi,
56,キョユウ,きょゆう,Kyoyuu,許攸,許攸,许攸,xǔ yōu,
57,キョチョ,きょちょ,Kyocho,許褚,許褚,许褚,xǔ chǔ,"page transcription 許緒 corrected (許褚, キョチョ)"
58,ギラン,ぎらん,Giran,嬀覧,媯覽,妫览,guī lǎn,
59,キレイ,きれい,Kirei,紀霊,紀靈,纪灵,jì líng,
60,キンカンケツ,きんかんけつ,Kinkanketsu,金環結,金環結,金环结,jīn huán jié,in-game name shortens 金環三結 to fit the 7-glyph name field
61,グホン,ぐほん,Guhon,虞翻,虞翻,虞翻,yú fān,"page transcription 盧翻 corrected (虞翻, グホン)"
62,ケイドウエイ,けいどうえい,Keidouei,邢道栄,邢道榮,邢道荣,xíng dào róng,page transcription 刑道榮 corrected (邢道栄)
63,ゲンガン,げんがん,Gengan,厳顔,嚴顏,严颜,yán yán,
64,ゲンシュン,げんしゅん,Genshun,厳畯,嚴畯,严畯,yán jùn,
65,ゲンコウ,げんこう,Genkou,厳綱,嚴綱,严纲,yán gāng,
66,ゴイ,ごい,Goi,呉懿,吳懿,吴懿,wú yì,
67,コウガイ,こうがい,Kougai,黄蓋,黃蓋,黄盖,huáng gài,
68,コウカン,こうかん,Koukan,高幹,高幹,高干,gāo gàn,
69,コウショウ,こうしょう,Koushou,高翔,高翔,高翔,gāo xiáng,
70,コウケン,こうけん,Kouken,黄権,黃權,黄权,huáng quán,
71,コウセイ,こうせい,Kousei,侯成,侯成,侯成,hóu chéng,
72,コウセン,こうせん,Kousen,侯選,侯選,侯选,hóu xuǎn,
73,コウソンエン,こうそんえん,Kouson'en,公孫淵,公孫淵,公孙渊,gōng sūn yuān,
74,コウソンコウ,こうそんこう,Kousonkou,公孫康,公孫康,公孙康,gōng sūn kāng,
75,コウチュウ,こうちゅう,Kouchuu,黄忠,黃忠,黄忠,huáng zhōng,
76,コウテイ,こうてい,Koutei,高定,高定,高定,gāo dìng,
77,コウラン,こうらん,Kouran,高覧,高覽,高览,gāo lǎn,
78,ゴツトツコツ,ごつとつこつ,Gotsutotsukotsu,兀突骨,兀突骨,兀突骨,wù tū gǔ,
79,コヨウ,こよう,Koyou,顧雍,顧雍,顾雍,gù yōng,
80,コシャジ,こしゃじ,Koshaji,胡車児,胡車兒,胡车儿,hú chē ér,
81,ゴラン,ごらん,Goran,呉蘭,吳蘭,吴兰,wú lán,
82,サイエン,さいえん,Saien,崔琰,崔琰,崔琰,cuī yǎn,
83,サイヨウ,さいよう,Saiyou,蔡陽,蔡陽,蔡阳,cài yáng,Sanguozhi writes 蔡揚; the game/Yanyi form 蔡陽 is used here
84,サイリョウ,さいりょう,Sairyou,崔諒,崔諒,崔谅,cuī liàng,
85,シカン,しかん,Shikan,史渙,史渙,史涣,shǐ huàn,
86,シバイ,しばい,Shibai,司馬懿,司馬懿,司马懿,sī mǎ yì,
87,シバシ,しばし,Shibashi,司馬師,司馬師,司马师,sī mǎ shī,
88,シバショウ,しばしょう,Shibashou,司馬昭,司馬昭,司马昭,sī mǎ zhāo,
89,シュウゼン,しゅうぜん,Shuuzen,周善,周善,周善,zhōu shàn,
90,シュウソウ,しゅうそう,Shuusou,周倉,周倉,周仓,zhōu cāng,
91,シュウタイ,しゅうたい,Shuutai,周泰,周泰,周泰,zhōu tài,
92,シュウホウ,しゅうほう,Shuuhou,周魴,周魴,周鲂,zhōu fáng,
93,シュウユ,しゅうゆ,Shuuyu,周瑜,周瑜,周瑜,zhōu yú,
94,シュカン,しゅかん,Shukan,朱桓,朱桓,朱桓,zhū huán,"page transcription 朱恆 corrected (朱桓, シュカン)"
95,シュゼン,しゅぜん,Shuzen,朱然,朱然,朱然,zhū rán,
96,シュチ,しゅち,Shuchi,朱治,朱治,朱治,zhū zhì,
97,シュホウ,しゅほう,Shuhou,朱褒,朱褒,朱褒,zhū bāo,
98,シュレイ,しゅれい,Shurei,朱霊,朱靈,朱灵,zhū líng,
99,ジュンイク,じゅんいく,Jun'iku,荀彧,荀彧,荀彧,xún yù,
100,ジュンウケイ,じゅんうけい,Jun'ukei,淳于瓊,淳于瓊,淳于琼,chún yú qióng,page transcription 淳於瓊 corrected (於=オ)
101,ジュンジン,じゅんじん,Junjin,荀諶,荀諶,荀谌,xún chén,
102,ショウカン,しょうかん,Shoukan,蔣幹,蔣幹,蒋干,jiǎng gàn,
103,ショウカイ,しょうかい,Shoukai,鍾会,鍾會,钟会,zhōng huì,
104,ショウエン,しょうえん,Shouen,蔣琬,蔣琬,蒋琬,jiǎng wǎn,
105,ショウチョウ,しょうちょう,Shouchou,向寵,向寵,向宠,xiàng chǒng,"page transcription 尚寵 corrected (向寵, ショウチョウ)"
106,ジョエイ,じょえい,Joei,徐栄,徐榮,徐荣,xú róng,
107,ショカツキン,しょかつきん,Shokatsukin,諸葛瑾,諸葛瑾,诸葛瑾,zhū gě jǐn,
108,ショカツセン,しょかつせん,Shokatsusen,諸葛瞻,諸葛瞻,诸葛瞻,zhū gě zhān,
109,ショカツリョウ,しょかつりょう,Shokatsuryou,諸葛亮,諸葛亮,诸葛亮,zhū gě liàng,
110,ショカツカク,しょかつかく,Shokatsukaku,諸葛恪,諸葛恪,诸葛恪,zhū gě kè,
111,ジョコウ,じょこう,Jokou,徐晃,徐晃,徐晃,xú huǎng,
112,ジョショ,じょしょ,Josho,徐庶,徐庶,徐庶,xú shù,
113,ジョセイ,じょせい,Josei,徐盛,徐盛,徐盛,xú shèng,
114,ジンシュン,じんしゅん,Jinshun,任峻,任峻,任峻,rèn jùn,
115,ジンソウ,じんそう,Jinsou,任双,任雙,任双,rèn shuāng,no canonical Three Kingdoms referent; 任双 is Yoshikawa’s form of Yanyi’s 任夔
116,シンタン,しんたん,Shintan,申耽,申耽,申耽,shēn dān,
117,シンパイ,しんぱい,Shinpai,審配,審配,审配,shěn pèi,
118,シンピ,しんぴ,Shinpi,辛毗,辛毗,辛毗,xīn pí,辛毘 and 辛毗 are variants of the same name
119,シンピョウ,しんぴょう,Shinpyou,辛評,辛評,辛评,xīn píng,
120,セイギ,せいぎ,Seigi,成宜,成宜,成宜,chéng yí,
121,セッソウ,せっそう,Sessou,薛綜,薛綜,薛综,xuē zōng,
122,ゼンソウ,ぜんそう,Zensou,全琮,全琮,全琮,quán cóng,
123,ソウエイ,そうえい,Souei,曹叡,曹叡,曹叡,cáo ruì,
124,ソウキュウ,そうきゅう,Soukyuu,曹休,曹休,曹休,cáo xiū,
125,ソウケン,そうけん,Souken,宋憲,宋憲,宋宪,sòng xiàn,
126,ソウコウ,そうこう,Soukou,曹洪,曹洪,曹洪,cáo hóng,
127,ソウショウ,そうしょう,Soushou,曹彰,曹彰,曹彰,cáo zhāng,
128,ソウショク,そうしょく,Soushoku,曹植,曹植,曹植,cáo zhí,
129,ソウシン,そうしん,Soushin,曹真,曹真,曹真,cáo zhēn,
130,ソウジン,そうじん,Soujin,曹仁,曹仁,曹仁,cáo rén,
131,ソウソウ,そうそう,Sousou,曹操,曹操,曹操,cáo cāo,
132,ソウヒ,そうひ,Souhi,曹丕,曹丕,曹丕,cáo pī,
133,ソウユウ,そうゆう,Souyuu,曹熊,曹熊,曹熊,cáo xióng,
134,ソジュ,そじゅ,Soju,沮授,沮授,沮授,jǔ shòu,
135,ソヒ,そひ,Sohi,蘇飛,蘇飛,苏飞,sū fēi,
136,ソンカン,そんかん,Sonkan,孫乾,孫乾,孙乾,sūn qián,OpenCC would give 孙干; the correct simplified form is 孙乾
137,ソンケン,そんけん,Sonken,孫権,孫權,孙权,sūn quán,"孫権, not 孫堅 - 孫策 is the playable Wu ruler in this game"
138,ソンサク,そんさく,Sonsaku,孫策,孫策,孙策,sūn cè,
139,ソンヨク,そんよく,Sonyoku,孫翊,孫翊,孙翊,sūn yì,
140,ソンレイ,そんれい,Sonrei,孫礼,孫禮,孙礼,sūn lǐ,
141,タイシジ,たいしじ,Taishiji,太史慈,太史慈,太史慈,tài shǐ cí,
142,タンユウ,たんゆう,Tanyuu,譚雄,譚雄,谭雄,tán xióng,
143,チョウサイ,ちょうさい,Chousai,張済,張濟,张济,zhāng jì,
144,チョウウン,ちょううん,Chouun,趙雲,趙雲,赵云,zhào yún,
145,チョウエイ,ちょうえい,Chouei,張衛,張衛,张卫,zhāng wèi,
146,チョウオウ,ちょうおう,Chouou,張横,張橫,张横,zhāng héng,
147,チョウギ,ちょうぎ,Chougi,張嶷,張嶷,张嶷,zhāng yí,
148,チョウゲツ,ちょうげつ,Chougetsu,趙月,趙月,赵月,zhào yuè,
149,チョウコウ,ちょうこう,Choukou,張郃,張郃,张郃,zhāng hé,
150,チョウショウ,ちょうしょう,Choushou,張松,張松,张松,zhāng sōng,
151,チョウジン,ちょうじん,Choujin,張任,張任,张任,zhāng rèn,
152,チョウナン,ちょうなん,Chounan,張南,張南,张南,zhāng nán,
153,チョウヒ,ちょうひ,Chouhi,張飛,張飛,张飞,zhāng fēi,
154,チョウホウ,ちょうほう,Chouhou,張苞,張苞,张苞,zhāng bāo,
155,チョウヨク,ちょうよく,Chouyoku,張翼,張翼,张翼,zhāng yì,
156,チョウリョウ,ちょうりょう,Chouryou,張遼,張遼,张辽,zhāng liáo,
157,チンシン,ちんしん,Chinshin,陳震,陳震,陈震,chén zhèn,
158,チンブ,ちんぶ,Chinbu,陳武,陳武,陈武,chén wǔ,
159,チンラン,ちんらん,Chinran,陳蘭,陳蘭,陈兰,chén lán,
160,チンリン,ちんりん,Chinrin,陳琳,陳琳,陈琳,chén lín,
161,テイイク,ていいく,Teiiku,程昱,程昱,程昱,chéng yù,
162,テイギン,ていぎん,Teigin,程銀,程銀,程银,chéng yín,
163,テイフ,ていふ,Teifu,程普,程普,程普,chéng pǔ,
164,テイヘイ,ていへい,Teihei,程秉,程秉,程秉,chéng bǐng,"page transcription 程乘 corrected (程秉, テイヘイ)"
165,テンイ,てんい,Ten'i,典韋,典韋,典韦,diǎn wéi,
166,デンチュウ,でんちゅう,Denchuu,田疇,田疇,田畴,tián chóu,
167,デンホウ,でんほう,Denhou,田豊,田豐,田丰,tián fēng,
168,トウイン,とういん,Touin,董允,董允,董允,dǒng yǔn,
169,トウガイ,とうがい,Tougai,鄧艾,鄧艾,邓艾,dèng ài,
170,トウシ,とうし,Toushi,鄧芝,鄧芝,邓芝,dèng zhī,
171,トウシュウ,とうしゅう,Toushuu,董襲,董襲,董袭,dǒng xí,
172,トウトヌ,とうとぬ,Toutonu,董荼奴,董荼奴,董荼奴,dǒng tú nú,page transcription 董茶奴 corrected; Yanyi also writes 董荼那
173,トウタク,とうたく,Toutaku,董卓,董卓,董卓,dǒng zhuó,
174,バエン,ばえん,Baen,馬延,馬延,马延,mǎ yán,
175,バガン,ばがん,Bagan,馬玩,馬玩,马玩,mǎ wán,
176,バキュウ,ばきゅう,Bakyuu,馬休,馬休,马休,mǎ xiū,
177,バショク,ばしょく,Bashoku,馬謖,馬謖,马谡,mǎ sù,
178,バジュン,ばじゅん,Bajun,馬遵,馬遵,马遵,mǎ zūn,
179,バタイ,ばたい,Batai,馬岱,馬岱,马岱,mǎ dài,
180,バチョウ,ばちょう,Bachou,馬超,馬超,马超,mǎ chāo,
181,バテツ,ばてつ,Batetsu,馬鉄,馬鐵,马铁,mǎ tiě,
182,バトウ,ばとう,Batou,馬騰,馬騰,马腾,mǎ téng,
183,バリョウ,ばりょう,Baryou,馬良,馬良,马良,mǎ liáng,
184,バンイク,ばんいく,Ban'iku,万彧,萬彧,万彧,wàn yù,
185,ハンショウ,はんしょう,Hanshou,潘璋,潘璋,潘璋,pān zhāng,"page transcription 藩璋 corrected (潘璋, ハンショウ)"
186,ハンチュウ,はんちゅう,Hanchuu,樊稠,樊稠,樊稠,fán chóu,
187,ヒイ,ひい,Hii,費禕,費禕,费祎,fèi yī,
188,ビジク,びじく,Bijiku,糜竺,麋竺,麋竺,mí zhú,"Yanyi writes 糜竺, Sanguozhi 麋竺"
189,ビホウ,びほう,Bihou,糜芳,麋芳,麋芳,mí fāng,"Yanyi writes 糜芳, Sanguozhi 麋芳"
190,フエイ,ふえい,Fuei,傅嬰,傅嬰,傅婴,fù yīng,
191,ブンシュウ,ぶんしゅう,Bunshuu,文醜,文醜,文丑,wén chǒu,
192,ブンペイ,ぶんぺい,Bunpei,文聘,文聘,文聘,wén pìn,
193,ブアンコク,ぶあんこく,Buankoku,武安国,武安國,武安国,wǔ ān guó,
194,ホウキ,ほうき,Houki,逢紀,逄紀,逄纪,páng jì,zh.wikipedia writes the surname 逄 (Pang); ja/Yanyi use 逢
195,ホウジュウ,ほうじゅう,Houjuu,龐柔,龐柔,庞柔,páng róu,
196,ホウセイ,ほうせい,Housei,法正,法正,法正,fǎ zhèng,
197,ホウトウ,ほうとう,Houtou,龐統,龐統,庞统,páng tǒng,
198,ホウトク,ほうとく,Houtoku,龐徳,龐德,庞德,páng dé,
199,ホシツ,ほしつ,Hoshitsu,歩騭,步騭,步骘,bù zhì,
200,モウカク,もうかく,Moukaku,孟獲,孟獲,孟获,mèng huò,
201,モウタツ,もうたつ,Moutatsu,孟達,孟達,孟达,mèng dá,
202,モウユウ,もうゆう,Mouyuu,孟優,孟優,孟优,mèng yōu,
203,ヨウガイ,ようがい,Yougai,雍闓,雍闓,雍闿,yōng kǎi,"ROM has an explicit dakuten (ヨウガイ) so 雍闓, not 楊懐"
204,ヨウギ,ようぎ,Yougi,楊儀,楊儀,杨仪,yáng yí,
205,ヨウコウ,ようこう,Youkou,楊洪,楊洪,杨洪,yáng hóng,
206,ヨウシュウ,ようしゅう,Youshuu,楊修,楊修,杨修,yáng xiū,
207,ヨウフ,ようふ,Youfu,楊阜,楊阜,杨阜,yáng fù,
208,ライハク,らいはく,Raihaku,雷薄,雷薄,雷薄,léi bó,
209,ライドウ,らいどう,Raidou,雷銅,雷銅,雷铜,léi tóng,
210,リイ,りい,Rii,李異,李異,李异,lǐ yì,
211,リカク,りかく,Rikaku,李傕,李傕,李傕,lǐ jué,
212,リクセキ,りくせき,Rikuseki,陸績,陸績,陆绩,lù jì,
213,リクソン,りくそん,Rikuson,陸遜,陸遜,陆逊,lù xùn,
214,リゲン,りげん,Rigen,李厳,李嚴,李严,lǐ yán,
215,リタン,りたん,Ritan,李湛,李湛,李湛,lǐ zhàn,
216,リテン,りてん,Riten,李典,李典,李典,lǐ diǎn,
217,リフ,りふ,Rifu,李孚,李孚,李孚,lǐ fú,
218,リョフ,りょふ,Ryofu,呂布,呂布,吕布,lǚ bù,
219,リジュ,りじゅ,Riju,李儒,李儒,李儒,lǐ rú,
220,リュウショウ,りゅうしょう,Ryuushou,劉璋,劉璋,刘璋,liú zhāng,
221,リュウド,りゅうど,Ryuudo,劉度,劉度,刘度,liú dù,
222,リュウビ,りゅうび,Ryuubi,劉備,劉備,刘备,liú bèi,
223,リュウヘイ,りゅうへい,Ryuuhei,留平,留平,留平,liú píng,
224,リュウホウ,りゅうほう,Ryuuhou,劉封,劉封,刘封,liú fēng,
225,リュウヨウ,りゅうよう,Ryuuyou,劉曄,劉曄,刘晔,liú yè,
226,リョウカ,りょうか,Ryouka,廖化,廖化,廖化,liào huà,
227,リョウコウ,りょうこう,Ryoukou,梁興,梁興,梁兴,liáng xīng,
228,リョウトウ,りょうとう,Ryoutou,凌統,凌統,凌统,líng tǒng,
229,リョガイ,りょがい,Ryogai,呂凱,呂凱,吕凯,lǚ kǎi,
230,リョコウ,りょこう,Ryokou,呂曠,呂曠,吕旷,lǚ kuàng,
231,リョケン,りょけん,Ryoken,呂虔,呂虔,吕虔,lǚ qián,
232,リョショウ,りょしょう,Ryoshou,呂翔,呂翔,吕翔,lǚ xiáng,
233,リョハン,りょはん,Ryohan,呂範,呂範,吕范,lǚ fàn,
234,リョモウ,りょもう,Ryomou,呂蒙,呂蒙,吕蒙,lǚ méng,
235,ロシュク,ろしゅく,Roshuku,魯粛,魯肅,鲁肃,lǔ sù,
236,リケイ,りけい,Rikei,李珪,李珪,李珪,lǐ guī,
